E,ft,Gf,softening,p,b,lch,a0,eta0,sigma0,beta,R_p,S_soft,f_b,beta_eff,Pmax,sigma_N,crack_half_width,Gf_eff,process_zone,ft_over_E,Gf_over_E,lch_over_b,sigma_N_over_ft,b_over_lch,softening_code
40000,4.0,0.12,cornelissen,1.0,1.0,300.0,190.98593171027443,13.81976597885342,55.27906391541368,3.0,1.0,0.997959257991111,1.004603977813465,2.99235799563758,10009.56621483532,1.000956621483532,1.3811933440395219,0.1197551109589333,299.3877773973333,0.0001,3e-06,300.0,0.250239155370883,0.0033333333333333335,2
40000,4.0,0.12,cornelissen,1.0,2.0,300.0,95.49296585513721,13.81976597885342,55.27906391541368,3.0,1.0,0.997959257991111,1.0092079556269302,2.9787069440926066,10026.723057757103,1.0026723057757103,2.7623866880790438,0.1197551109589333,299.3877773973333,0.0001,3e-06,150.0,0.2506680764439276,0.006666666666666667,2
40000,4.0,0.12,cornelissen,1.5,1.0,300.0,286.4788975654116,13.81976597885342,55.27906391541368,3.0,0.75,1.2755427934825074,1.004589257545905,3.121594077787277,9851.387155583783,0.9851387155583783,1.3767772637715012,0.15306513521790088,382.6628380447522,0.0001,3e-06,300.0,0.24628467888959457,0.0033333333333333335,2
40000,4.0,0.12,cornelissen,1.5,2.0,300.0,143.2394487827058,13.81976597885342,55.27906391541368,3.0,0.75,1.2755427934825074,1.00917851509181,3.107398572272146,9868.396072211233,0.9868396072211233,2.7535545275430025,0.15306513521790088,382.6628380447522,0.0001,3e-06,150.0,0.24670990180528082,0.006666666666666667,2
40000,4.0,0.12,cornelissen,2.0,1.0,300.0,381.97186342054886,13.81976597885342,55.27906391541368,3.0,0.6,1.4773213613120106,1.0045795141626028,3.3690752339077594,9568.309926569518,0.9568309926569519,1.373854248780866,0.17727856335744127,443.1964083936032,0.0001,3e-06,300.0,0.23920774816423798,0.0033333333333333335,2
40000,4.0,0.12,cornelissen,2.0,2.0,300.0,190.98593171027443,13.81976597885342,55.27906391541368,3.0,0.6,1.4773213613120106,1.0091590283252059,3.353786535778426,9585.095177867634,0.9585095177867633,2.747708497561732,0.17727856335744127,443.1964083936032,0.0001,3e-06,150.0,0.23962737944669082,0.006666666666666667,2
40000,4.0,0.16,linear,1.0,1.0,400.0,254.64790894703256,15.957691216057308,63.83076486422923,4.0,1.0,1.0,1.0034429516557408,3.9862754463517445,8956.57285351095,0.895657285351095,1.377180662296321,0.16,400.0,0.0001,4e-06,400.0,0.22391432133777375,0.0025,0
40000,4.0,0.16,linear,1.0,2.0,400.0,127.32395447351628,15.957691216057308,63.83076486422923,4.0,1.0,1.0,1.0068859033114816,3.972644752344491,8968.840043512871,0.8968840043512871,2.754361324592642,0.16,400.0,0.0001,4e-06,200.0,0.22422100108782178,0.005,0
40000,4.0,0.16,linear,1.5,1.0,400.0,381.9718634205488,15.957691216057308,63.83076486422923,4.0,0.75,1.0,1.003433452321878,5.31508424499139,7958.668607228845,0.7958668607228845,1.3733809287511478,0.16,400.0,0.0001,4e-06,400.0,0.19896671518072112,0.0025,0
40000,4.0,0.16,linear,1.5,2.0,400.0,190.9859317102744,15.957691216057308,63.83076486422923,4.0,0.75,1.0,1.0068669046437557,5.296959616743332,7970.11415158994,0.797011415158994,2.7467618575022956,0.16,400.0,0.0001,4e-06,200.0,0.1992528537897485,0.005,0
40000,4.0,0.16,linear,2.0,1.0,400.0,509.2958178940651,15.957691216057308,63.83076486422923,4.0,0.6,1.0,1.0034271623719684,6.643896953026021,7233.901381455788,0.7233901381455788,1.3708649487873947,0.16,400.0,0.0001,4e-06,400.0,0.1808475345363947,0.0025,0
40000,4.0,0.16,linear,2.0,2.0,400.0,254.64790894703256,15.957691216057308,63.83076486422923,4.0,0.6,1.0,1.006854324743937,6.62128224791817,7244.626044542853,0.7244626044542853,2.7417298975747895,0.16,400.0,0.0001,4e-06,200.0,0.18111565111357134,0.005,0
40000,4.0,0.16,exponential,1.0,1.0,400.0,254.64790894703256,15.957691216057308,63.83076486422923,4.0,1.0,0.9960049926738792,1.0034429516557408,4.002264522439965,8942.247147296359,0.8942247147296359,1.377180662296321,0.15936079882782067,398.40199706955167,0.0001,4e-06,400.0,0.22355617868240898,0.0025,1
40000,4.0,0.16,exponential,1.0,2.0,400.0,127.32395447351628,15.957691216057308,63.83076486422923,4.0,1.0,0.9960049926738792,1.0068859033114816,3.9885791552906893,8954.504557213146,0.8954504557213145,2.754361324592642,0.15936079882782067,398.40199706955167,0.0001,4e-06,200.0,0.22386261393032864,0.005,1
40000,4.0,0.16,exponential,1.5,1.0,400.0,381.9718634205488,15.957691216057308,63.83076486422923,4.0,0.75,1.2443201672289614,1.003433452321878,4.271476413363786,8710.916722273856,0.8710916722273856,1.3733809287511478,0.19909122675663382,497.7280668915846,0.0001,4e-06,400.0,0.2177729180568464,0.0025,1
40000,4.0,0.16,exponential,1.5,2.0,400.0,190.9859317102744,15.957691216057308,63.83076486422923,4.0,0.75,1.2443201672289614,1.0068669046437557,4.256910525318732,8722.976511680674,0.8722976511680673,2.7467618575022956,0.19909122675663382,497.7280668915846,0.0001,4e-06,200.0,0.21807441279201684,0.005,1
40000,4.0,0.16,exponential,2.0,1.0,400.0,509.2958178940651,15.957691216057308,63.83076486422923,4.0,0.6,1.4926577061825816,1.0034271623719684,4.451051922692677,8566.232078925226,0.8566232078925227,1.3708649487873947,0.23882523298921307,597.0630824730326,0.0001,4e-06,400.0,0.21415580197313067,0.0025,1
40000,4.0,0.16,exponential,2.0,2.0,400.0,254.64790894703256,15.957691216057308,63.83076486422923,4.0,0.6,1.4926577061825816,1.006854324743937,4.435901292367868,8578.161426317916,0.8578161426317916,2.7417298975747895,0.23882523298921307,597.0630824730326,0.0001,4e-06,200.0,0.2144540356579479,0.005,1
40000,4.0,0.16,cornelissen,1.0,1.0,400.0,254.64790894703256,15.957691216057308,63.83076486422923,4.0,1.0,0.997959257991111,1.0034429516557408,3.9944270414166057,8949.260686414682,0.8949260686414683,1.377180662296321,0.15967348127857775,399.1837031964444,0.0001,4e-06,400.0,0.22373151716036707,0.0025,2
40000,4.0,0.16,cornelissen,1.0,2.0,400.0,127.32395447351628,15.957691216057308,63.83076486422923,4.0,1.0,0.997959257991111,1.0068859033114816,3.980768473796629,8961.522890343467,0.8961522890343467,2.754361324592642,0.15967348127857775,399.1837031964444,0.0001,4e-06,200.0,0.22403807225858668,0.005,2
40000,4.0,0.16,cornelissen,1.5,1.0,400.0,381.9718634205488,15.957691216057308,63.83076486422923,4.0,0.75,1.2755427934825074,1.003433452321878,4.166919582901693,8798.611551170758,0.8798611551170756,1.3733809287511478,0.2040868469572012,510.217117393003,0.0001,4e-06,400.0,0.2199652887792689,0.0025,2
40000,4.0,0.16,cornelissen,1.5,2.0,400.0,190.9859317102744,15.957691216057308,63.83076486422923,4.0,0.75,1.2755427934825074,1.0068669046437557,4.152710237405276,8810.73492240423,0.8810734922404231,2.7467618575022956,0.2040868469572012,510.217117393003,0.0001,4e-06,200.0,0.22026837306010577,0.005,2
40000,4.0,0.16,cornelissen,2.0,1.0,400.0,509.2958178940651,15.957691216057308,63.83076486422923,4.0,0.6,1.4773213613120106,1.0034271623719684,4.4972591116705765,8530.154391877933,0.8530154391877933,1.3708649487873947,0.2363714178099217,590.9285445248042,0.0001,4e-06,400.0,0.21325385979694833,0.0025,2
40000,4.0,0.16,cornelissen,2.0,2.0,400.0,254.64790894703256,15.957691216057308,63.83076486422923,4.0,0.6,1.4773213613120106,1.006854324743937,4.481951199864735,8542.055977249522,0.8542055977249523,2.7417298975747895,0.2363714178099217,590.9285445248042,0.0001,4e-06,200.0,0.21355139943123808,0.005,2
40000,4.0,0.2,linear,1.0,1.0,500.0,318.3098861837907,17.841241161527712,71.36496464611085,5.0,1.0,1.0,1.002748937581776,4.986292991801092,8174.308257228737,0.8174308257228736,1.3744687908879694,0.2,500.0,0.0001,5e-06,500.0,0.2043577064307184,0.002,0
40000,4.0,0.2,linear,1.0,2.0,500.0,159.15494309189535,17.841241161527712,71.36496464611085,5.0,1.0,1.0,1.005497875163552,4.97266093097085,8183.631501708537,0.8183631501708537,2.7489375817759387,0.2,500.0,0.0001,5e-06,250.0,0.20459078754271343,0.004,0
40000,4.0,0.2,linear,1.5,1.0,500.0,477.464829275686,17.841241161527712,71.36496464611085,5.0,0.75,1.0,1.002742170197464,6.648435524910497,7231.7547690330075,0.7231754769033008,1.3710850987319696,0.2,500.0,0.0001,5e-06,500.0,0.1807938692258252,0.002,0
40000,4.0,0.2,linear,1.5,2.0,500.0,238.732414637843,17.841241161527712,71.36496464611085,5.0,0.75,1.0,1.0054843403949278,6.630303823576383,7240.34199022055,0.724034199022055,2.742170197463939,0.2,500.0,0.0001,5e-06,250.0,0.18100854975551375,0.004,0
40000,4.0,0.2,linear,2.0,1.0,500.0,636.6197723675814,17.841241161527712,71.36496464611085,5.0,0.6,1.0,1.0027376880775494,8.31058155329737,6554.530540806384,0.6554530540806384,1.3688440387747034,0.2,500.0,0.0001,5e-06,500.0,0.1638632635201596,0.002,0
40000,4.0,0.2,linear,2.0,2.0,500.0,318.3098861837907,17.841241161527712,71.36496464611085,5.0,0.6,1.0,1.0054753761550987,8.287953669437135,6562.509958951453,0.6562509958951454,2.737688077549407,0.2,500.0,0.0001,5e-06,250.0,0.16406274897378634,0.004,0
40000,4.0,0.2,exponential,1.0,1.0,500.0,318.3098861837907,17.841241161527712,71.36496464611085,5.0,1.0,0.9960049926738792,1.002748937581776,5.006293169690715,8160.687215110067,0.8160687215110067,1.3744687908879694,0.19920099853477585,498.0024963369396,0.0001,5e-06,500.0,0.20401718037775168,0.002,1
40000,4.0,0.2,exponential,1.0,2.0,500.0,159.15494309189535,17.841241161527712,71.36496464611085,5.0,1.0,0.9960049926738792,1.005497875163552,4.992606430236082,8170.001150426263,0.8170001150426264,2.7489375817759387,0.19920099853477585,498.0024963369396,0.0001,5e-06,250.0,0.2042500287606566,0.004,1
40000,4.0,0.2,exponential,1.5,1.0,500.0,477.464829275686,17.841241161527712,71.36496464611085,5.0,0.75,1.2443201672289614,1.002742170197464,5.34302641716097,7941.119575941579,0.7941119575941579,1.3710850987319696,0.2488640334457923,622.1600836144808,0.0001,5e-06,500.0,0.19852798939853947,0.002,1
40000,4.0,0.2,exponential,1.5,2.0,500.0,238.732414637843,17.841241161527712,71.36496464611085,5.0,0.75,1.2443201672289614,1.0054843403949278,5.328454844818385,7950.2567245966075,0.7950256724596607,2.742170197463939,0.2488640334457923,622.1600836144808,0.0001,5e-06,250.0,0.19875641811491518,0.004,1
40000,4.0,0.2,exponential,2.0,1.0,500.0,636.6197723675814,17.841241161527712,71.36496464611085,5.0,0.6,1.4926577061825816,1.0027376880775494,5.567640537328135,7804.144610746205,0.7804144610746205,1.3688440387747034,0.2985315412365163,746.3288530912909,0.0001,5e-06,500.0,0.19510361526865513,0.002,1
40000,4.0,0.2,exponential,2.0,2.0,500.0,318.3098861837907,17.841241161527712,71.36496464611085,5.0,0.6,1.4926577061825816,1.0054753761550987,5.552481077951406,7813.167014925165,0.7813167014925165,2.737688077549407,0.2985315412365163,746.3288530912909,0.0001,5e-06,250.0,0.19532917537312913,0.004,1
40000,4.0,0.2,cornelissen,1.0,1.0,500.0,318.3098861837907,17.841241161527712,71.36496464611085,5.0,1.0,0.997959257991111,1.002748937581776,4.996489537898055,8167.355424830016,0.8167355424830016,1.3744687908879694,0.1995918515982222,498.97962899555546,0.0001,5e-06,500.0,0.2041838856207504,0.002,2
40000,4.0,0.2,cornelissen,1.0,2.0,500.0,159.15494309189535,17.841241161527712,71.36496464611085,5.0,1.0,0.997959257991111,1.005497875163552,4.982829600660054,8176.673921360444,0.8176673921360443,2.7489375817759387,0.1995918515982222,498.97962899555546,0.0001,5e-06,250.0,0.20441684803401108,0.004,2
40000,4.0,0.2,cornelissen,1.5,1.0,500.0,477.464829275686,17.841241161527712,71.36496464611085,5.0,0.75,1.2755427934825074,1.002742170197464,5.212240278320127,8024.276277280724,0.8024276277280724,1.3710850987319696,0.2551085586965015,637.7713967412537,0.0001,5e-06,500.0,0.2006069069320181,0.002,2
40000,4.0,0.2,cornelissen,1.5,2.0,500.0,238.732414637843,17.841241161527712,71.36496464611085,5.0,0.75,1.2755427934825074,1.0054843403949278,5.198025387665921,8033.472664625396,0.8033472664625396,2.742170197463939,0.2551085586965015,637.7713967412537,0.0001,5e-06,250.0,0.2008368166156349,0.004,2
40000,4.0,0.2,cornelissen,2.0,1.0,500.0,636.6197723675814,17.841241161527712,71.36496464611085,5.0,0.6,1.4773213613120106,1.0027376880775494,5.625439238160568,7770.0293262677815,0.7770029326267781,1.3688440387747034,0.29546427226240213,738.6606806560053,0.0001,5e-06,500.0,0.19425073315669453,0.002,2
40000,4.0,0.2,cornelissen,2.0,2.0,500.0,318.3098861837907,17.841241161527712,71.36496464611085,5.0,0.6,1.4773213613120106,1.0054753761550987,5.610122405646795,7779.026389191464,0.7779026389191463,2.737688077549407,0.29546427226240213,738.6606806560053,0.0001,5e-06,250.0,0.1944756597297866,0.004,2
40000,5.0,0.08,linear,1.0,1.0,128.0,81.48733086305042,9.0270333367641,45.1351666838205,1.28,1.0,1.0,1.0109185042974655,1.2661752599825362,16607.079384503042,1.6607079384503045,1.3975685500755926,0.08,128.0,0.000125,2e-06,128.0,0.3321415876900609,0.0078125,0
